match,teamInnings,bowlerName,overs,maidens,runs,wickets,noBalls,wides,economy
IRELAND vs INDIA,INDIA,Hardik Pandya,4,1,27,3,0,0,6.80
IRELAND vs INDIA,INDIA,Axar,1,0,3,1,0,0,3.00
IRELAND vs INDIA,INDIA,Ravindra Jadeja,1,0,7,0,0,0,7.00
IRELAND vs INDIA,IRELAND,Mark Adair,4,0,27,1,0,3,6.80
IRELAND vs INDIA,IRELAND,Joshua Little,4,0,42,0,0,3,10.50
IRELAND vs INDIA,IRELAND,Barry McCarthy,2.2,0,18,0,0,0,7.70
IRELAND vs INDIA,IRELAND,Curtis Campher,1,0,4,0,0,0,4.00
IRELAND vs INDIA,IRELAND,Benjamin White,1,0,6,1,0,0,6.00
PAPUA NEW GUINEA vs UGANDA,UGANDA,Alpesh Ramjani,4,1,17,2,0,0,4.20
PAPUA NEW GUINEA vs UGANDA,UGANDA,Cosmas Kyewuta,3.1,0,17,2,0,0,5.40
PAPUA NEW GUINEA vs UGANDA,UGANDA,Juma Miyagi,4,0,10,2,1,0,2.50
PAPUA NEW GUINEA vs UGANDA,UGANDA,Masaba (c),4,0,17,1,0,0,4.20
PAPUA NEW GUINEA vs UGANDA,UGANDA,Nsubuga,4,2,4,2,0,0,1.00
PAPUA NEW GUINEA vs UGANDA,PAPUA NEW GUINEA,Alei Nao,4,0,16,2,0,7,4.00
PAPUA NEW GUINEA vs UGANDA,PAPUA NEW GUINEA,Norman Vanua,4,0,19,2,0,7,4.80
PAPUA NEW GUINEA vs UGANDA,PAPUA NEW GUINEA,Chad Soper,4,0,13,1,0,1,3.20
PAPUA NEW GUINEA vs UGANDA,PAPUA NEW GUINEA,Assad Vala (c),2,0,10,1,0,0,5.00
PAPUA NEW GUINEA vs UGANDA,PAPUA NEW GUINEA,John Kariko,4,0,18,0,0,0,4.50
PAPUA NEW GUINEA vs UGANDA,PAPUA NEW GUINEA,Charles Amini,0.2,0,2,0,0,0,6.00
AUSTRALIA vs OMAN,OMAN,Bilal Khan,4,0,36,1,1,1,9.00
AUSTRALIA vs OMAN,OMAN,Kaleemullah,3,0,30,1,0,0,10.00
AUSTRALIA vs OMAN,OMAN,Shakeel Ahmed,4,0,28,0,1,0,7.00
AUSTRALIA vs OMAN,OMAN,Mehran Khan,4,0,38,2,1,0,9.50
AUSTRALIA vs OMAN,OMAN,Aqib Ilyas (c),4,0,18,0,0,0,4.50
AUSTRALIA vs OMAN,OMAN,Zeeshan Maqsood,1,0,12,0,0,0,12.00
AUSTRALIA vs OMAN,AUSTRALIA,Mitchell Starc,3,0,20,2,0,5,6.70
AUSTRALIA vs OMAN,AUSTRALIA,Josh Hazlewood,4,0,21,0,0,0,5.20
AUSTRALIA vs OMAN,AUSTRALIA,Nathan Ellis,4,0,28,2,0,1,7.00
AUSTRALIA vs OMAN,AUSTRALIA,Marcus Stoinis,3,0,19,3,0,1,6.30
AUSTRALIA vs OMAN,AUSTRALIA,Glenn Maxwell,2,0,11,0,0,1,5.50
AUSTRALIA vs OMAN,AUSTRALIA,Adam Zampa,4,0,24,2,0,0,6.00
