match,teamInnings,battingPos,batsmanName,dismissal,runs,balls,4s,6s,SR
WEST INDIES vs NEW ZEALAND,WEST INDIES,3,Pooran (wk),c Conway b Southee,17,12,3,0,141.67
WEST INDIES vs NEW ZEALAND,WEST INDIES,4,Roston Chase,c Rachin Ravindra b Lockie Ferguson,0,3,0,0,0.00
WEST INDIES vs NEW ZEALAND,WEST INDIES,5,Rovman Powell (c),c Conway b Southee,1,5,0,0,20.00
WEST INDIES vs NEW ZEALAND,WEST INDIES,6,Sherfane Rutherford,not out,68,39,2,6,174.36
WEST INDIES vs NEW ZEALAND,WEST INDIES,7,Akeal Hosein,c Neesham b Santner,15,17,0,1,88.24
WEST INDIES vs NEW ZEALAND,WEST INDIES,8,Russell,c Lockie Ferguson b Boult,14,7,2,1,200.00
WEST INDIES vs NEW ZEALAND,WEST INDIES,9,Romario Shepherd,lbw b Lockie Ferguson,13,13,0,1,100.00
WEST INDIES vs NEW ZEALAND,WEST INDIES,10,Alzarri Joseph,b Boult,6,6,1,0,100.00
WEST INDIES vs NEW ZEALAND,WEST INDIES,11,Motie,not out,0,1,0,0,0.00
WEST INDIES vs NEW ZEALAND,NEW ZEALAND,1,Devon Conway (wk),c Roston Chase b Akeal Hosein,5,8,0,0,62.50
WEST INDIES vs NEW ZEALAND,NEW ZEALAND,2,Finn Allen,c Russell b Alzarri Joseph,26,23,3,1,113.04
WEST INDIES vs NEW ZEALAND,NEW ZEALAND,3,Rachin Ravindra,c Russell b Motie,10,13,0,0,76.92
WEST INDIES vs NEW ZEALAND,NEW ZEALAND,4,Kane Williamson (c),c Pooran b Motie,1,2,0,0,50.00
WEST INDIES vs NEW ZEALAND,NEW ZEALAND,5,Daryl Mitchell,b Motie,12,13,1,0,92.31
WEST INDIES vs NEW ZEALAND,NEW ZEALAND,6,Glenn Phillips,c Rovman Powell b Alzarri Joseph,40,33,3,2,121.21
WEST INDIES vs NEW ZEALAND,NEW ZEALAND,7,James Neesham,c Brandon King b Alzarri Joseph,10,11,0,1,90.91
WEST INDIES vs NEW ZEALAND,NEW ZEALAND,8,Mitchell Santner,not out,21,12,0,3,175.00
WEST INDIES vs NEW ZEALAND,NEW ZEALAND,9,Tim Southee,c and b Alzarri Joseph,0,1,0,0,0.00
WEST INDIES vs NEW ZEALAND,NEW ZEALAND,10,Trent Boult,c Roston Chase b Russell,7,4,0,1,175.00
WEST INDIES vs NEW ZEALAND,NEW ZEALAND,11,Lockie Ferguson,not out,0,0,0,0,0.00
BANGLADESH vs NETHERLANDS,BANGLADESH,1,Tanzid Hasan,c Bas de Leede b van Meekeren,35,26,5,1,134.62
BANGLADESH vs NETHERLANDS,BANGLADESH,2,Shanto (c),c Vikramjit Singh b Aryan Dutt,1,3,0,0,33.33
BANGLADESH vs NETHERLANDS,BANGLADESH,3,Litton Das (wk),c Sybrand Engelbrecht b Aryan Dutt,1,2,0,0,50.00
BANGLADESH vs NETHERLANDS,BANGLADESH,4,Shakib,not out,64,46,9,0,139.13
BANGLADESH vs NETHERLANDS,BANGLADESH,5,Towhid Hridoy,b Tim Pringle,9,15,0,0,60.00
BANGLADESH vs NETHERLANDS,BANGLADESH,6,Mahmudullah,c Sybrand Engelbrecht b van Meekeren,25,21,2,2,119.05
BANGLADESH vs NETHERLANDS,BANGLADESH,7,Jaker Ali,not out,14,7,3,0,200.00
BANGLADESH vs NETHERLANDS,NETHERLANDS,1,Michael Levitt,c Towhid Hridoy b Taskin Ahmed,18,16,2,1,112.50
BANGLADESH vs NETHERLANDS,NETHERLANDS,2,Max ODowd,c and b Tanzim Hasan Sakib,12,16,3,0,75.00
BANGLADESH vs NETHERLANDS,NETHERLANDS,3,Vikramjit Singh,st Litton Das b Mahmudullah,26,16,0,3,162.50
BANGLADESH vs NETHERLANDS,NETHERLANDS,4,Sybrand Engelbrecht,c Tanzim Hasan Sakib b Rishad Hossain,33,22,3,1,150.00
BANGLADESH vs NETHERLANDS,NETHERLANDS,5,Scott Edwards (c & wk),c Jaker Ali b Mustafizur,25,23,3,0,108.70
BANGLADESH vs NETHERLANDS,NETHERLANDS,6,Bas de Leede,st Litton Das b Rishad Hossain,0,2,0,0,0.00
BANGLADESH vs NETHERLANDS,NETHERLANDS,7,Logan van Beek,c and b Rishad Hossain,2,3,0,0,66.67
BANGLADESH vs NETHERLANDS,NETHERLANDS,8,Tim Pringle,b Taskin Ahmed,1,10,0,0,10.00
BANGLADESH vs NETHERLANDS,NETHERLANDS,9,Aryan Dutt,not out,15,12,1,1,125.00
OMAN vs ENGLAND,OMAN,1,Pratik Athavale (wk),c Salt b Jofra Archer,5,3,1,0,166.67
OMAN vs ENGLAND,OMAN,2,Kashyap,c Livingstone b Mark Wood,9,16,0,1,56.25
OMAN vs ENGLAND,OMAN,3,Aqib Ilyas (c),c Will Jacks b Jofra Archer,8,10,1,0,80.00
OMAN vs ENGLAND,OMAN,4,Zeeshan Maqsood,c and b Mark Wood,1,5,0,0,20.00
OMAN vs ENGLAND,OMAN,5,Khalid Kail,st Jos Buttler b Adil Rashid,1,3,0,0,33.33
OMAN vs ENGLAND,OMAN,6,Ayaan Khan,b Mark Wood,1,5,0,0,20.00
OMAN vs ENGLAND,OMAN,7,Shoaib Khan,c Jos Buttler b Jofra Archer,11,23,1,0,47.83
OMAN vs ENGLAND,OMAN,8,Mehran Khan,c Moeen b Adil Rashid,0,2,0,0,0.00
OMAN vs ENGLAND,OMAN,9,Fayyaz Butt,b Adil Rashid,2,7,0,0,28.57
