match,teamInnings,battingPos,batsmanName,dismissal,runs,balls,4s,6s,SR
AFGHANISTAN vs AUSTRALIA,AUSTRALIA,5,Marcus Stoinis,c Gurbaz b Gulbadin,11,17,1,0,64.71
AFGHANISTAN vs AUSTRALIA,AUSTRALIA,6,Tim David,lbw b Gulbadin,2,4,0,0,50.00
AFGHANISTAN vs AUSTRALIA,AUSTRALIA,7,Matthew Wade (wk),c Karim Janat b Rashid Khan,5,7,0,0,71.43
AFGHANISTAN vs AUSTRALIA,AUSTRALIA,8,Pat Cummins,b Gulbadin,3,9,0,0,33.33
AFGHANISTAN vs AUSTRALIA,AUSTRALIA,9,Ashton Agar,c Gulbadin b Naveen-ul-Haq,2,5,0,0,40.00
AFGHANISTAN vs AUSTRALIA,AUSTRALIA,10,Adam Zampa,c Nabi b Azmatullah,9,7,1,0,128.57
AFGHANISTAN vs AUSTRALIA,AUSTRALIA,11,Josh Hazlewood,not out,5,7,0,0,71.43
UNITED STATES OF AMERICA vs ENGLAND,UNITED STATES OF AMERICA,1,Steven Taylor,c Moeen b Sam Curran,12,13,2,0,92.31
UNITED STATES OF AMERICA vs ENGLAND,UNITED STATES OF AMERICA,2,Andries Gous (wk),c Salt b R Topley,8,5,0,1,160.00
UNITED STATES OF AMERICA vs ENGLAND,UNITED STATES OF AMERICA,3,NR Kumar,b Adil Rashid,30,24,1,2,125.00
UNITED STATES OF AMERICA vs ENGLAND,UNITED STATES OF AMERICA,4,Aaron Jones (c),b Adil Rashid,10,16,2,0,62.50
UNITED STATES OF AMERICA vs ENGLAND,UNITED STATES OF AMERICA,5,CJ Anderson,c Harry Brook b Chris Jordan,29,28,0,1,103.57
UNITED STATES OF AMERICA vs ENGLAND,UNITED STATES OF AMERICA,6,Milind Kumar,c Jos Buttler b Livingstone,4,6,0,0,66.67
UNITED STATES OF AMERICA vs ENGLAND,UNITED STATES OF AMERICA,7,Harmeet Singh,c Chris Jordan b Sam Curran,21,17,2,1,123.53
UNITED STATES OF AMERICA vs ENGLAND,UNITED STATES OF AMERICA,8,van Schalkwyk,not out,0,0,0,0,0.00
UNITED STATES OF AMERICA vs ENGLAND,UNITED STATES OF AMERICA,9,Ali Khan,b Chris Jordan,0,2,0,0,0.00
UNITED STATES OF AMERICA vs ENGLAND,UNITED STATES OF AMERICA,10,Nosthush Kenjige,lbw b Chris Jordan,0,1,0,0,0.00
UNITED STATES OF AMERICA vs ENGLAND,UNITED STATES OF AMERICA,11,Netravalkar,b Chris Jordan,0,1,0,0,0.00
UNITED STATES OF AMERICA vs ENGLAND,ENGLAND,1,Philip Salt,not out,25,21,2,0,119.05
UNITED STATES OF AMERICA vs ENGLAND,ENGLAND,2,Jos Buttler (c & wk),not out,83,38,6,7,218.42
WEST INDIES vs SOUTH AFRICA,WEST INDIES,1,K Mayers,c Tristan Stubbs b Shamsi,35,34,3,2,102.94
WEST INDIES vs SOUTH AFRICA,WEST INDIES,2,Shai Hope,c Tristan Stubbs b Marco Jansen,0,1,0,0,0.00
WEST INDIES vs SOUTH AFRICA,WEST INDIES,3,Pooran (wk),c Marco Jansen b Markram,1,3,0,0,33.33
WEST INDIES vs SOUTH AFRICA,WEST INDIES,4,Roston Chase,c Rabada b Shamsi,52,42,3,2,123.81
WEST INDIES vs SOUTH AFRICA,WEST INDIES,5,Rovman Powell (c),st de Kock b Maharaj,1,2,0,0,50.00
WEST INDIES vs SOUTH AFRICA,WEST INDIES,6,Sherfane Rutherford,c Markram b Shamsi,0,4,0,0,0.00
WEST INDIES vs SOUTH AFRICA,WEST INDIES,7,Russell,run out (Nortje),15,9,0,2,166.67
WEST INDIES vs SOUTH AFRICA,WEST INDIES,8,Akeal Hosein,c and b Rabada,6,11,1,0,54.55
WEST INDIES vs SOUTH AFRICA,WEST INDIES,9,Alzarri Joseph,not out,11,7,0,1,157.14
WEST INDIES vs SOUTH AFRICA,WEST INDIES,10,Motie,not out,4,7,1,0,57.14
WEST INDIES vs SOUTH AFRICA,SOUTH AFRICA,1,Quinton de Kock (wk),c Sherfane Rutherford b Russell,12,7,3,0,171.43
WEST INDIES vs SOUTH AFRICA,SOUTH AFRICA,2,Reeza Hendricks,c Pooran b Russell,0,1,0,0,0.00
WEST INDIES vs SOUTH AFRICA,SOUTH AFRICA,3,Aiden Markram (c),c K Mayers b Alzarri Joseph,18,15,2,0,120.00
WEST INDIES vs SOUTH AFRICA,SOUTH AFRICA,4,Tristan Stubbs,c K Mayers b Roston Chase,29,27,4,0,107.41
WEST INDIES vs SOUTH AFRICA,SOUTH AFRICA,5,Heinrich Klaasen,c Pooran b Alzarri Joseph,22,10,3,1,220.00
WEST INDIES vs SOUTH AFRICA,SOUTH AFRICA,6,David Miller,b Roston Chase,4,14,0,0,28.57
WEST INDIES vs SOUTH AFRICA,SOUTH AFRICA,7,Marco Jansen,not out,21,14,1,1,150.00
WEST INDIES vs SOUTH AFRICA,SOUTH AFRICA,8,Keshav Maharaj,c Alzarri Joseph b Roston Chase,2,6,0,0,33.33
WEST INDIES vs SOUTH AFRICA,SOUTH AFRICA,9,Kagiso Rabada,not out,5,3,1,0,166.67
INDIA vs AUSTRALIA,INDIA,1,Rohit (c),b Mitchell Starc,92,41,7,8,224.39
INDIA vs AUSTRALIA,INDIA,2,Kohli,c Tim David b Hazlewood,0,5,0,0,0.00
INDIA vs AUSTRALIA,INDIA,3,Pant (wk),c Hazlewood b Stoinis,15,14,1,1,107.14
INDIA vs AUSTRALIA,INDIA,4,Suryakumar Yadav,c Wade b Mitchell Starc,31,16,3,2,193.75
INDIA vs AUSTRALIA,INDIA,5,Shivam Dube,c Warner b Stoinis,28,22,2,1,127.27
INDIA vs AUSTRALIA,INDIA,6,Hardik Pandya,not out,27,17,1,2,158.82
INDIA vs AUSTRALIA,INDIA,7,Ravindra Jadeja,not out,9,5,0,1,180.00
INDIA vs AUSTRALIA,AUSTRALIA,1,David Warner,c Suryakumar Yadav b Arshdeep Singh,6,6,1,0,100.00
INDIA vs AUSTRALIA,AUSTRALIA,2,Travis Head,c Rohit b Bumrah,76,43,9,4,176.74
INDIA vs AUSTRALIA,AUSTRALIA,3,Mitchell Marsh (c),c Axar b Kuldeep Yadav,37,28,3,2,132.14
INDIA vs AUSTRALIA,AUSTRALIA,4,Glenn Maxwell,b Kuldeep Yadav,20,12,2,1,166.67
INDIA vs AUSTRALIA,AUSTRALIA,5,Marcus Stoinis,c Hardik Pandya b Axar,2,4,0,0,50.00
INDIA vs AUSTRALIA,AUSTRALIA,6,Tim David,c Bumrah b Arshdeep Singh,15,11,1,1,136.36
INDIA vs AUSTRALIA,AUSTRALIA,7,Matthew Wade (wk),c Kuldeep Yadav b Arshdeep Singh,1,2,0,0,50.00
INDIA vs AUSTRALIA,AUSTRALIA,8,Pat Cummins,not out,11,7,0,1,157.14
INDIA vs AUSTRALIA,AUSTRALIA,9,Mitchell Starc,not out,4,7,0,0,57.14
AFGHANISTAN vs BANGLADESH,AFGHANISTAN,1,Gurbaz (wk),c Soumya Sarkar b Rishad Hossain,43,55,3,1,78.18
AFGHANISTAN vs BANGLADESH,AFGHANISTAN,2,Ibrahim Zadran,c Tanzim Hasan Sakib b Rishad Hossain,18,29,1,0,62.07
AFGHANISTAN vs BANGLADESH,AFGHANISTAN,3,Azmatullah,c Litton Das b Mustafizur,10,12,0,0,83.33
AFGHANISTAN vs BANGLADESH,AFGHANISTAN,4,Gulbadin,c Soumya Sarkar b Rishad Hossain,4,3,1,0,133.33
AFGHANISTAN vs BANGLADESH,AFGHANISTAN,5,Nabi,c Shanto b Taskin Ahmed,1,5,0,0,20.00
AFGHANISTAN vs BANGLADESH,AFGHANISTAN,6,Karim Janat,not out,7,6,1,0,116.67
AFGHANISTAN vs BANGLADESH,AFGHANISTAN,7,Rashid Khan (c),not out,19,10,0,3,190.00
AFGHANISTAN vs BANGLADESH,BANGLADESH,1,Litton Das (wk),not out,54,49,5,1,110.20
AFGHANISTAN vs BANGLADESH,BANGLADESH,2,Tanzid Hasan,lbw b Fazalhaq Farooqi,0,3,0,0,0.00
AFGHANISTAN vs BANGLADESH,BANGLADESH,3,Najmul Hossain Shanto (c),c Nabi b Naveen-ul-Haq,5,5,1,0,100.00
AFGHANISTAN vs BANGLADESH,BANGLADESH,4,Shakib Al Hasan,c and b Naveen-ul-Haq,0,1,0,0,0.00
AFGHANISTAN vs BANGLADESH,BANGLADESH,5,Soumya Sarkar,b Rashid Khan,10,10,1,0,100.00
AFGHANISTAN vs BANGLADESH,BANGLADESH,6,Towhid Hridoy,c Ibrahim Zadran b Rashid Khan,14,9,2,0,155.56
AFGHANISTAN vs BANGLADESH,BANGLADESH,7,Mahmudullah,c (sub)Mohammad Ishaq b Rashid Khan,6,9,1,0,66.67
AFGHANISTAN vs BANGLADESH,BANGLADESH,8,Rishad Hossain,b Rashid Khan,0,1,0,0,0.00
AFGHANISTAN vs BANGLADESH,BANGLADESH,9,Tanzim Hasan Sakib,c Nabi b Gulbadin,3,10,0,0,30.00
AFGHANISTAN vs BANGLADESH,BANGLADESH,10,Taskin Ahmed,b Naveen-ul-Haq,2,9,0,0,22.22
AFGHANISTAN vs BANGLADESH,BANGLADESH,11,Mustafizur Rahman,lbw b Naveen-ul-Haq,0,1,0,0,0.00
AFGHANISTAN vs SOUTH AFRICA,AFGHANISTAN,1,Gurbaz (wk),c Reeza Hendricks b Marco Jansen,0,3,0,0,0.00
AFGHANISTAN vs SOUTH AFRICA,AFGHANISTAN,2,Ibrahim Zadran,b Rabada,2,5,0,0,40.00
AFGHANISTAN vs SOUTH AFRICA,AFGHANISTAN,3,Gulbadin,b Marco Jansen,9,8,2,0,112.50
AFGHANISTAN vs SOUTH AFRICA,AFGHANISTAN,4,Azmatullah,c Tristan Stubbs b Nortje,10,12,2,0,83.33
AFGHANISTAN vs SOUTH AFRICA,AFGHANISTAN,5,Nabi,b Rabada,0,3,0,0,0.00
AFGHANISTAN vs SOUTH AFRICA,AFGHANISTAN,6,Nangeyalia Kharote,c de Kock b Marco Jansen,2,7,0,0,28.57
AFGHANISTAN vs SOUTH AFRICA,AFGHANISTAN,7,Karim Janat,lbw b Shamsi,8,13,1,0,61.54
AFGHANISTAN vs SOUTH AFRICA,AFGHANISTAN,8,Rashid Khan (c),b Nortje,8,8,2,0,100.00
AFGHANISTAN vs SOUTH AFRICA,AFGHANISTAN,9,Noor Ahmad,lbw b Shamsi,0,2,0,0,0.00
AFGHANISTAN vs SOUTH AFRICA,AFGHANISTAN,10,Naveen-ul-Haq,lbw b Shamsi,2,8,0,0,25.00
AFGHANISTAN vs SOUTH AFRICA,AFGHANISTAN,11,Fazalhaq Farooqi,not out,2,2,0,0,100.00
AFGHANISTAN vs SOUTH AFRICA,SOUTH AFRICA,1,Quinton de Kock (wk),b Fazalhaq Farooqi,5,8,1,0,62.50
AFGHANISTAN vs SOUTH AFRICA,SOUTH AFRICA,2,Reeza Hendricks,not out,29,25,3,1,116.00
AFGHANISTAN vs SOUTH AFRICA,SOUTH AFRICA,3,Aiden Markram (c),not out,23,21,4,0,109.52
INDIA vs ENGLAND,INDIA,1,Rohit (c),b Adil Rashid,57,39,6,2,146.15
INDIA vs ENGLAND,INDIA,2,Kohli,b R Topley,9,9,0,1,100.00
INDIA vs ENGLAND,INDIA,3,Pant (wk),c Bairstow b Sam Curran,4,6,0,0,66.67
INDIA vs ENGLAND,INDIA,4,Suryakumar Yadav,c Chris Jordan b Jofra Archer,47,36,4,2,130.56
INDIA vs ENGLAND,INDIA,5,Hardik Pandya,c Sam Curran b Chris Jordan,23,13,1,2,176.92
INDIA vs ENGLAND,INDIA,6,Ravindra Jadeja,not out,17,9,2,0,188.89
INDIA vs ENGLAND,INDIA,7,Shivam Dube,c Jos Buttler b Chris Jordan,0,1,0,0,0.00
INDIA vs ENGLAND,INDIA,8,Axar,c Salt b Chris Jordan,10,6,0,1,166.67
INDIA vs ENGLAND,INDIA,9,Arshdeep Singh,not out,1,1,0,0,100.00
INDIA vs ENGLAND,ENGLAND,1,Philip Salt,b Bumrah,5,8,0,0,62.50
INDIA vs ENGLAND,ENGLAND,2,Jos Buttler (c & wk),c Pant b Axar,23,15,4,0,153.33
INDIA vs ENGLAND,ENGLAND,3,Moeen Ali,st Pant b Axar,8,10,0,0,80.00
INDIA vs ENGLAND,ENGLAND,4,Jonny Bairstow,b Axar,0,3,0,0,0.00
INDIA vs ENGLAND,ENGLAND,5,Harry Brook,b Kuldeep Yadav,25,19,3,0,131.58
INDIA vs ENGLAND,ENGLAND,6,Sam Curran,lbw b Kuldeep Yadav,2,4,0,0,50.00
INDIA vs ENGLAND,ENGLAND,7,Liam Livingstone,run out (Kuldeep Yadav/Axar),11,16,0,0,68.75
INDIA vs ENGLAND,ENGLAND,8,Chris Jordan,lbw b Kuldeep Yadav,1,5,0,0,20.00
INDIA vs ENGLAND,ENGLAND,9,Jofra Archer,lbw b Bumrah,21,15,1,2,140.00
INDIA vs ENGLAND,ENGLAND,10,Adil Rashid,run out (Suryakumar Yadav),2,2,0,0,100.00
INDIA vs ENGLAND,ENGLAND,11,Reece Topley,not out,3,3,0,0,100.00
INDIA vs SOUTH AFRICA,INDIA,1,Rohit (c),c Klaasen b Maharaj,9,5,2,0,180.00
INDIA vs SOUTH AFRICA,INDIA,2,Kohli,c Rabada b Marco Jansen,76,59,6,2,128.81
INDIA vs SOUTH AFRICA,INDIA,3,Pant (wk),c de Kock b Maharaj,0,2,0,0,0.00
INDIA vs SOUTH AFRICA,INDIA,4,Suryakumar Yadav,c Klaasen b Rabada,3,4,0,0,75.00
INDIA vs SOUTH AFRICA,INDIA,5,Axar,run out (de Kock),47,31,1,4,151.61
INDIA vs SOUTH AFRICA,INDIA,6,Shivam Dube,c David Miller b Nortje,27,16,3,1,168.75
INDIA vs SOUTH AFRICA,INDIA,7,Hardik Pandya,not out,5,2,1,0,250.00
INDIA vs SOUTH AFRICA,INDIA,8,Ravindra Jadeja,c Maharaj b Nortje,2,2,0,0,100.00
INDIA vs SOUTH AFRICA,SOUTH AFRICA,1,Reeza Hendricks,b Bumrah,4,5,1,0,80.00
INDIA vs SOUTH AFRICA,SOUTH AFRICA,2,Quinton de Kock (wk),c Kuldeep Yadav b Arshdeep Singh,39,31,4,1,125.81
INDIA vs SOUTH AFRICA,SOUTH AFRICA,3,Aiden Markram (c),c Pant b Arshdeep Singh,4,5,1,0,80.00
INDIA vs SOUTH AFRICA,SOUTH AFRICA,4,Tristan Stubbs,b Axar,31,21,3,1,147.62
INDIA vs SOUTH AFRICA,SOUTH AFRICA,5,Heinrich Klaasen,c Pant b Hardik Pandya,52,27,2,5,192.59
INDIA vs SOUTH AFRICA,SOUTH AFRICA,6,David Miller,c Suryakumar Yadav b Hardik Pandya,21,17,1,1,123.53
INDIA vs SOUTH AFRICA,SOUTH AFRICA,7,Marco Jansen,b Bumrah,2,4,0,0,50.00
INDIA vs SOUTH AFRICA,SOUTH AFRICA,8,Keshav Maharaj,not out,2,7,0,0,28.57
INDIA vs SOUTH AFRICA,SOUTH AFRICA,9,Kagiso Rabada,c Suryakumar Yadav b Hardik Pandya,4,3,1,0,133.33
INDIA vs SOUTH AFRICA,SOUTH AFRICA,10,Anrich Nortje,not out,1,1,0,0,100.00
