image,player_name,team,role,batting_style,bowling_style
https://static.cricbuzz.com/a/img/v1/i1/c182026/aqib-ilyas.jpg?d=low&p=gthumb,Aqib Ilyas,Oman,Batsman,Right Handed Bat,Right-arm offbreak
https://static.cricbuzz.com/a/img/v1/i1/c182026/zeeshan-maqsood.jpg?d=low&p=gthumb,"Zeeshan Maqsood
Batting Allrounder",Oman,Batting Allrounder,Left Handed Bat,Left-arm orthodox
https://static.cricbuzz.com/a/img/v1/i1/c182026/rafiullah.jpg?d=low&p=gthumb,"Rafiullah
Batting Allrounder",Oman,Batting Allrounder,Right Handed Bat,Right-arm medium
https://static.cricbuzz.com/a/img/v1/i1/c182026/ayaan-khan.jpg?d=low&p=gthumb,"Ayaan Khan
Bowling Allrounder",Oman,Bowling Allrounder,Left Handed Bat,Left-arm orthodox
https://static.cricbuzz.com/a/img/v1/i1/c182026/mohammad-nadeem.jpg?d=low&p=gthumb,"Mohammad Nadeem
Bowling Allrounder",Oman,Bowling Allrounder,Right Handed Bat,Right-arm fast-medium
https://static.cricbuzz.com/a/img/v1/i1/c182026/pratik-athavale.jpg?d=low&p=gthumb,"Pratik Athavale
WK-Batsman",Oman,WK-Batsman,Right Handed Bat,Right-arm offbreak
https://static.cricbuzz.com/a/img/v1/i1/c182026/naseem-khushi.jpg?d=low&p=gthumb,"Naseem Khushi
WK-Batsman",Oman,WK-Batsman,Right Handed Bat,
https://static.cricbuzz.com/a/img/v1/i1/c182026/shakeel-ahmed.jpg?d=low&p=gthumb,"Shakeel Ahmed
Bowler",Oman,Bowler,Left Handed Bat,Left-arm orthodox
https://static.cricbuzz.com/a/img/v1/i1/c154943/bilal-khan.jpg?d=low&p=gthumb,"Bilal Khan
Bowler",Oman,Bowler,Left Handed Bat,Left-arm fast-medium
https://static.cricbuzz.com/a/img/v1/i1/c182026/fayyaz-butt.jpg?d=low&p=gthumb,"Fayyaz Butt
Bowler",Oman,Bowler,Right Handed Bat,Right-arm fast-medium
https://static.cricbuzz.com/a/img/v1/i1/c182026/kaleemullah.jpg?d=low&p=gthumb,"Kaleemullah
Bowler",Oman,Bowler,Right Handed Bat,Right-arm medium
https://static.cricbuzz.com/a/img/v1/i1/c619858/aiden-markram.jpg?d=low&p=gthumb,Aiden Markram,South Africa,Batsman,Right Handed Bat,Right-arm offbreak
https://static.cricbuzz.com/a/img/v1/i1/c594193/reeza-hendricks.jpg?d=low&p=gthumb,"Reeza Hendricks
Batsman",South Africa,Batsman,Right Handed Bat,Right-arm offbreak
https://static.cricbuzz.com/a/img/v1/i1/c619861/david-miller.jpg?d=low&p=gthumb,"David Miller
Batsman",South Africa,Batsman,Left Handed Bat,
https://static.cricbuzz.com/a/img/v1/i1/c619862/marco-jansen.jpg?d=low&p=gthumb,"Marco Jansen
Bowling Allrounder",South Africa,Bowling Allrounder,Right Handed Bat,Left-arm fast
https://static.cricbuzz.com/a/img/v1/i1/c594326/quinton-de-kock.jpg?d=low&p=gthumb,"Quinton de Kock
WK-Batsman",South Africa,WK-Batsman,Left Handed Bat,
https://static.cricbuzz.com/a/img/v1/i1/c619866/heinrich-klaasen.jpg?d=low&p=gthumb,"Heinrich Klaasen
WK-Batsman",South Africa,WK-Batsman,Right Handed Bat,Right-arm offbreak
https://static.cricbuzz.com/a/img/v1/i1/c619865/ryan-rickelton.jpg?d=low&p=gthumb,"Ryan Rickelton
WK-Batsman",South Africa,WK-Batsman,Left Handed Bat,
https://static.cricbuzz.com/a/img/v1/i1/c619868/tristan-stubbs.jpg?d=low&p=gthumb,"Tristan Stubbs
WK-Batsman",South Africa,WK-Batsman,Right Handed Bat,Right-arm offbreak
https://static.cricbuzz.com/a/img/v1/i1/c597835/ottneil-baartman.jpg?d=low&p=gthumb,"Ottneil Baartman
Bowler",South Africa,Bowler,Right Handed Bat,Right-arm fast-medium
https://static.cricbuzz.com/a/img/v1/i1/c597795/gerald-coetzee.jpg?d=low&p=gthumb,"Gerald Coetzee
Bowler",South Africa,Bowler,Right Handed Bat,Right-arm fast
https://static.cricbuzz.com/a/img/v1/i1/c244752/bjorn-fortuin.jpg?d=low&p=gthumb,"Bjorn Fortuin
Bowler",South Africa,Bowler,Right Handed Bat,Left-arm orthodox
https://static.cricbuzz.com/a/img/v1/i1/c619870/keshav-maharaj.jpg?d=low&p=gthumb,"Keshav Maharaj
Bowler",South Africa,Bowler,Right Handed Bat,Left-arm orthodox
https://static.cricbuzz.com/a/img/v1/i1/c244754/anrich-nortje.jpg?d=low&p=gthumb,"Anrich Nortje
Bowler",South Africa,Bowler,Right Handed Bat,Right-arm fast
