player_id,image,player_name,team,role,batting_style,bowling_style,role_clean,batting_style_clean,bowling_arm,bowling_type,player_name_clean
P278,https://static.cricbuzz.com/a/img/v1/i1/c616468/towhid-hridoy.jpg?d=low&p=gthumb,Towhid Hridoy,Bangladesh,Batsman,Right Handed Bat,Right-arm offbreak,bat,RHB,Right,offbreak,towhid hridoy
P279,https://static.cricbuzz.com/a/img/v1/i1/c351919/shakib-al-hasan.jpg?d=low&p=gthumb,Shakib Al Hasan,Bangladesh,Batting Allrounder,Left Handed Bat,Left-arm orthodox,ar,LHB,Left,orthodox,shakib al hasan
P280,https://static.cricbuzz.com/a/img/v1/i1/c616462/mahmudullah.jpg?d=low&p=gthumb,Mahmudullah,Bangladesh,Batting Allrounder,Right Handed Bat,Right-arm offbreak,ar,RHB,Right,offbreak,mahmudullah
P281,https://static.cricbuzz.com/a/img/v1/i1/c351902/mahedi-hasan.jpg?d=low&p=gthumb,Mahedi Hasan,Bangladesh,Batting Allrounder,Right Handed Bat,Right-arm offbreak,ar,RHB,Right,offbreak,mahedi hasan
P282,https://static.cricbuzz.com/a/img/v1/i1/c351896/litton-das.jpg?d=low&p=gthumb,Litton Das WK-,Bangladesh,WK-Batsman,Right Handed Bat,,wk,RHB,,,litton das
P283,https://static.cricbuzz.com/a/img/v1/i1/c616470/jaker-ali.jpg?d=low&p=gthumb,Jaker Ali WK-,Bangladesh,WK-Batsman,Right Handed Bat,,wk,RHB,,,jaker ali
P284,https://static.cricbuzz.com/a/img/v1/i1/c616466/taskin-ahmed.jpg?d=low&p=gthumb,Taskin Ahmed,Bangladesh,Bowler,Left Handed Bat,Right-arm fast,bowl,LHB,Right,fast,taskin ahmed
P285,https://static.cricbuzz.com/a/img/v1/i1/c182026/tanvir-islam.jpg?d=low&p=gthumb,Tanvir Islam,Bangladesh,Bowler,Left Handed Bat,Left-arm orthodox,bowl,LHB,Left,orthodox,tanvir islam
P286,https://static.cricbuzz.com/a/img/v1/i1/c616457/rishad-hossain.jpg?d=low&p=gthumb,Rishad Hossain,Bangladesh,Bowler,Right Handed Bat,Right-arm legbreak,bowl,RHB,Right,legbreak,rishad hossain
P287,https://static.cricbuzz.com/a/img/v1/i1/c616463/mustafizur-rahman.jpg?d=low&p=gthumb,Mustafizur Rahman,Bangladesh,Bowler,Left Handed Bat,Left-arm fast-medium,bowl,LHB,Left,fast-medium,mustafizur rahman
