match_name,team,player_name,overs,maidens,runs,wickets,no_balls,wides,economy,player_name_clean,team_clean,player_id
SCOTLAND vs ENGLAND,ENGLAND,Jofra Archer,2,0,12,0,0,0,6,jofra archer,ENG,P40
SCOTLAND vs ENGLAND,ENGLAND,Moeen Ali,2,0,15,0,0,0,7.5,moeen ali,ENG,P33
SCOTLAND vs ENGLAND,ENGLAND,Chris Jordan,2,0,24,0,0,0,12,chris jordan,ENG,P42
SCOTLAND vs ENGLAND,ENGLAND,Adil Rashid,2,0,26,0,0,0,13,adil rashid,ENG,P43
NEPAL vs NETHERLANDS,NETHERLANDS,Kingma,4,0,23,0,0,2,5.8,vivian kingma,NED,P273
NEPAL vs NETHERLANDS,NETHERLANDS,Tim Pringle,4,0,20,3,0,0,5,tim pringle,NED,P266
NEPAL vs NETHERLANDS,NETHERLANDS,van Beek,3.2,0,18,3,0,0,5.4,logan van beek,NED,P270
NEPAL vs NETHERLANDS,NETHERLANDS,van Meekeren,4,0,19,2,0,1,4.8,paul van meekeren,NED,P272
NEPAL vs NETHERLANDS,NETHERLANDS,Bas de Leede,4,1,22,2,0,1,5.5,bas de leede,NED,P265
NEPAL vs NETHERLANDS,NEPAL,Karan KC,3,0,17,0,0,0,5.7,karan kc,NEP,P188
NEPAL vs NETHERLANDS,NEPAL,Sompal Kami,4,0,18,1,0,0,4.5,sompal kami,NEP,P189
NEPAL vs NETHERLANDS,NEPAL,Gulsan Jha,2,0,17,0,1,0,8.5,gulsan jha,NEP,P194
NEPAL vs NETHERLANDS,NEPAL,Dipendra Singh Airee,2,0,6,1,0,0,3,dipendra singh airee,NEP,P185
NEPAL vs NETHERLANDS,NEPAL,Abinash Bohara,3.4,0,29,1,0,0,7.9,abinash bohara,NEP,P195
NEPAL vs NETHERLANDS,NEPAL,Sagar Dhakal,4,0,21,0,0,0,5.2,sagar dhakal,NEP,P196
IRELAND vs INDIA,INDIA,Arshdeep Singh,4,0,35,2,1,9,8.8,arshdeep singh,IND,P13
IRELAND vs INDIA,INDIA,Siraj,3,0,13,1,0,0,4.3,mohammed siraj,IND,P15
IRELAND vs INDIA,INDIA,Bumrah,3,1,6,2,0,0,2,jasprit bumrah,IND,P14
IRELAND vs INDIA,INDIA,Hardik Pandya,4,1,27,3,0,0,6.8,hardik pandya,IND,P5
IRELAND vs INDIA,INDIA,Axar,1,0,3,1,0,0,3,axar patel,IND,P8
IRELAND vs INDIA,INDIA,Ravindra Jadeja,1,0,7,0,0,0,7,ravindra jadeja,IND,P7
IRELAND vs INDIA,IRELAND,Mark Adair,4,0,27,1,0,3,6.8,mark adair,IRE,P25
